Episode,Total_Reward,Steps,Epsilon
3001,9.214158341843182,20,0.01
3002,9.225597070598964,20,0.01
3003,6.291720009270644,20,0.01
3004,9.38146846813419,20,0.01
3005,7.345827172316165,20,0.01
3006,7.382710942399834,20,0.01
3007,9.386383965954224,20,0.01
3008,9.890696190531456,20,0.01
3009,9.820737280529256,20,0.01
3010,6.812039614493224,20,0.01
3011,8.382683888931265,20,0.01
3012,8.542723516633156,20,0.01
3013,7.0246683252071715,20,0.01
3014,9.330014906762672,20,0.01
3015,11.27499379343218,20,0.01
3016,8.326129240090456,20,0.01
3017,7.840895930342498,20,0.01
3018,8.952060378826356,20,0.01
3019,8.95817707226316,20,0.01
3020,10.342720149780526,20,0.01
3021,7.568422256310858,20,0.01
3022,7.52931023193302,20,0.01
3023,10.086928641148102,20,0.01
3024,11.41325963340999,20,0.01
3025,8.186552651178935,20,0.01
3026,8.955746472359216,20,0.01
3027,9.687991041867557,20,0.01
3028,8.287202695067798,20,0.01
3029,7.740419975115646,20,0.01
3030,9.165800881525824,20,0.01
3031,7.362948357692573,20,0.01
3032,8.193093871251065,20,0.01
3033,11.942025307178088,20,0.01
3034,11.840526343535684,20,0.01
3035,9.207719643977276,20,0.01
3036,9.81050785047582,20,0.01
3037,8.53479501527843,20,0.01
3038,9.080538397827345,20,0.01
3039,11.656344651429206,20,0.01
3040,10.116414206887638,20,0.01
3041,7.851006973748742,20,0.01
3042,9.437004384570812,20,0.01
3043,9.389099190176703,20,0.01
3044,8.887466739992043,20,0.01
3045,7.500072529692661,20,0.01
3046,10.44506463913494,20,0.01
3047,11.155915913855583,20,0.01
3048,9.184852096106363,20,0.01
3049,10.92380788658485,20,0.01
3050,10.927027062301772,20,0.01
3051,7.993637180875016,20,0.01
3052,9.852783543506368,20,0.01
3053,10.240003897680783,20,0.01
3054,8.519000090597435,20,0.01
3055,11.056880271586012,20,0.01
3056,11.694207921749195,20,0.01
3057,11.344528058506883,20,0.01
3058,8.254441034131906,20,0.01
3059,8.677839563931045,20,0.01
3060,8.082199168005179,20,0.01
3061,10.586855146702387,20,0.01
3062,6.310082212956695,20,0.01
3063,8.47226663873781,20,0.01
3064,9.089567978380405,20,0.01
3065,10.452346085386493,20,0.01
3066,7.311470383624449,20,0.01
3067,10.25498462717562,20,0.01
3068,8.520643680174786,20,0.01
3069,10.806406457689453,20,0.01
3070,10.044470553285896,20,0.01
3071,7.60780932950275,20,0.01
3072,8.000676524338786,20,0.01
3073,11.263523383903026,20,0.01
3074,9.469225493573816,20,0.01
3075,9.63227881760846,20,0.01
3076,8.688600229252781,20,0.01
3077,8.96917095605491,20,0.01
3078,9.243482162827808,20,0.01
3079,11.23153457718866,20,0.01
3080,7.066034081659028,20,0.01
3081,9.348203335575565,20,0.01
3082,9.290206768297502,20,0.01
3083,7.8556666925431315,20,0.01
3084,8.428216033372278,20,0.01
3085,9.133813325076696,20,0.01
3086,12.604406099894973,20,0.01
3087,10.036099865726252,20,0.01
3088,8.297164457683092,20,0.01
3089,9.25702021261531,20,0.01
3090,9.245592262523155,20,0.01
3091,9.301276607421233,20,0.01
3092,11.854168565060753,20,0.01
3093,9.030010588628903,20,0.01
3094,6.79369782241003,20,0.01
3095,9.958522752552154,20,0.01
3096,9.537775206139168,20,0.01
3097,6.495549407778948,20,0.01
3098,8.160454838410853,20,0.01
3099,9.626461852761038,20,0.01
3100,8.853914386486762,20,0.01
3101,11.030082411394291,20,0.01
3102,9.780320929735588,20,0.01
3103,10.30855413463826,20,0.01
3104,9.310182638297105,20,0.01
3105,9.548781423484787,20,0.01
3106,10.685309877570374,20,0.01
3107,10.339481968174436,20,0.01
3108,9.385429578654806,20,0.01
3109,8.759850866715848,20,0.01
3110,9.315598374512264,20,0.01
3111,10.060099202458032,20,0.01
3112,10.809355108250992,20,0.01
3113,9.141921727553813,20,0.01
3114,8.046050213002294,20,0.01
3115,7.862953403339025,20,0.01
3116,7.287594718770202,20,0.01
3117,8.18940388434809,20,0.01
3118,9.826424063156729,20,0.01
3119,11.424490912338454,20,0.01
3120,9.12311597781845,20,0.01
3121,9.677354129630446,20,0.01
3122,8.710025372818507,20,0.01
3123,9.660434577674302,20,0.01
3124,8.028258713224806,20,0.01
3125,8.43054699439371,20,0.01
3126,8.93556005483424,20,0.01
3127,9.256744576057946,20,0.01
3128,9.36121086076994,20,0.01
3129,8.02845067852934,20,0.01
3130,12.231920807922615,20,0.01
3131,10.644404299451017,20,0.01
3132,7.36391271984241,20,0.01
3133,10.799765746598263,20,0.01
3134,9.35354365281428,20,0.01
3135,9.310798999154763,20,0.01
3136,8.647726541865662,20,0.01
3137,8.946715860294313,20,0.01
3138,7.7286321843972035,20,0.01
3139,9.48641710803064,20,0.01
3140,9.251068299884876,20,0.01
3141,11.551913055081425,20,0.01
3142,9.934751011833137,20,0.01
3143,10.9272888636418,20,0.01
3144,8.791481838251766,20,0.01
3145,9.136579840900001,20,0.01
3146,10.350534137572732,20,0.01
3147,10.111102077961439,20,0.01
3148,7.737595114419014,20,0.01
3149,11.13791972771929,20,0.01
3150,9.348122826061758,20,0.01
3151,10.353518104222552,20,0.01
3152,9.563033116790521,20,0.01
3153,9.147839316000944,20,0.01
3154,8.2422135155296,20,0.01
3155,11.713273749032258,20,0.01
3156,9.711813970893402,20,0.01
3157,9.93962621846966,20,0.01
3158,11.180497871661684,20,0.01
3159,8.4663775899904,20,0.01
3160,8.778688773578736,20,0.01
3161,8.084396517873316,20,0.01
3162,9.710703424659945,20,0.01
3163,8.154735580689245,20,0.01
3164,7.599723686003705,20,0.01
3165,9.0957972982615,20,0.01
3166,7.220505919283098,20,0.01
3167,10.054961424325615,20,0.01
3168,7.856872645704872,20,0.01
3169,9.851097837544673,20,0.01
3170,9.460250548962238,20,0.01
3171,11.082883365618144,20,0.01
3172,8.510148834574478,20,0.01
3173,10.523993963034728,20,0.01
3174,11.396660127465275,20,0.01
3175,8.203040663941158,20,0.01
3176,8.720674523563561,20,0.01
3177,10.198052155450943,20,0.01
3178,7.79103772996168,20,0.01
3179,9.12149417764081,20,0.01
3180,9.734464655944144,20,0.01
3181,6.297434309261733,20,0.01
3182,7.869183805407464,20,0.01
3183,9.254002108426578,20,0.01
3184,6.393532899567915,20,0.01
3185,9.966660813208337,20,0.01
3186,8.244222197384177,20,0.01
3187,10.734858520823886,20,0.01
3188,8.149726974303972,20,0.01
3189,12.125228808055319,20,0.01
3190,9.48829898772174,20,0.01
3191,7.242798656558308,20,0.01
3192,9.131382508154044,20,0.01
3193,7.277862074076199,20,0.01
3194,9.166904660502379,20,0.01
3195,8.686725726863727,20,0.01
3196,8.016402359241383,20,0.01
3197,13.616680239893446,20,0.01
3198,9.250922053015374,20,0.01
3199,8.87104906533084,20,0.01
3200,7.318173207914219,20,0.01
3201,9.34952054359251,20,0.01
3202,9.752682071087326,20,0.01
3203,10.521828728747805,20,0.01
3204,9.978109995432954,20,0.01
3205,10.473261270657765,20,0.01
3206,7.2003813883286325,20,0.01
3207,8.586891630715607,20,0.01
3208,8.558800167280731,20,0.01
3209,9.108430133488081,20,0.01
3210,9.028843993313329,20,0.01
3211,7.185445324365557,20,0.01
